state,x,y
South Dakota,-44,109
Illinois,95,37
Indiana,133,39
North Carolina,239,-22
South Carolina,218,-51
Maine,319,164
Arizona,-203,-40
Oregon,-278,138
New York,236,104
Kentucky,149,1
Kansas,-17,5
Maryland,288,27
Utah,-189,34
Iowa,38,65
Alaska,-204,-170
Alabama,139,-77
Connecticut,297,96
New Mexico,-128,-43
North Dakota,-44,158
West Virginia,200,20
Pennsylvania,238,72
Vermont,282,154
Texas,-38,-106
Georgia,182,-75
Minnesota,23,135
Michigan,148,101
Nebraska,-61,66
Louisiana,59,-114
Nevada,-257,56
Florida,220,-145
Hawaii,-317,-143
Tennessee,131,-34
Massachusetts,312,112
Colorado,-112,20
Oklahoma,-8,-41
Missouri,49,6
California,-297,13
Washington,-257,193
Idaho,-216,122
Wisconsin,83,113
Montana,-141,150
Mississippi,94,-78
Wyoming,-134,90
Rhode Island,318,94
Arkansas,57,-53
New Hampshire,302,127
Delaware,275,42
New Jersey,282,65
Virginia,234,12
